127.0.0.1 - - [02/Jul/2020:17:05:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:05:03 +0900] "GET /CssEx/Ch03/301.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:07:05 +0900] "GET /CssEx/Ch03/301.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:07:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:08:09 +0900] "GET /CssEx/Ch03/301.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:08:42 +0900] "GET /CssEx/Ch03/301.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:20:24 +0900] "GET /CssEx/Ch03/302.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:20:24 +0900] "GET /CssEx/Ch03/media/snow.jpg HTTP/1.1" 200 114998
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:34:52 +0900] "GET /CssEx/Ch03/303.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:38:22 +0900] "GET /CssEx/Ch03/303.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:47:24 +0900] "GET /CssEx/Ch03/304.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:48:53 +0900] "GET /CssEx/Ch03/304.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:48:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:21 +0900] "GET /CssEx/Ch03/308.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:21 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:21 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:21 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:50 +0900] "GET /CssEx/Ch03/308.html? HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:50 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:50 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:50 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:54 +0900] "GET /CssEx/Ch03/308.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:54 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:56:54 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:29 +0900] "GET /CssEx/Ch03/308.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:29 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:40 +0900] "GET /CssEx/Ch03/308.html?x=24&y=28 HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:40 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:42 +0900] "GET /CssEx/Ch03/308.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:17:57:42 +0900] "GET /CssEx/Ch03/media/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:04:35 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:09:52 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:11:18 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:14:00 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:16:07 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:19:12 +0900] "GET /CssEx/Ch03/314.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:24:27 +0900] "GET /CssEx/Ch03/318.html HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:25:54 +0900] "GET /CssEx/Ch03/318.html? HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:26:15 +0900] "GET /CssEx/Ch03/318.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:18:28:16 +0900] "GET /CssEx/Ch03/318.html HTTP/1.1" 200 495
